IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"54.222.216.176","www.roche-diagnostics.cn","","www.roche-diagnostics.cn|roche-diagnostics.cn",""
"52.80.139.115","www.roche-diagnostics.cn","","www.roche-diagnostics.cn|roche-diagnostics.cn",""
