IP Address,Common Name
3.120.166.207:443,api-home.roche.com
3.120.232.116:443,lb-marketplace-blue.marketplace-dev.roche.com
3.120.255.232:443,*.roche.com
3.121.53.172:443,orders-apac-test1.roche.com
3.121.133.192:443,orders-emea-test1.roche.com
3.121.176.1:443,*.roche.com
3.121.192.215:443,api-uat-home.roche.com
3.122.34.236:443,orders-apac-test1.roche.com
3.122.38.252:443,marsprod.roche.com|dpa-pred.roche.com|tmate.roche.com
3.122.47.15:443,dia-ts-test.roche.com
3.122.69.187:443,ws.mobileverification.roche.com|ws-mobileverification.roche.com
3.122.140.45:443,orders-emea.roche.com
3.122.117.194:443,*.roche.com
3.122.137.42:443,old3.orders-emea-test2.roche.com
3.122.160.236:443,cep-test-drupal.roche.com
3.122.175.135:443,prod-mock.dpmsys.roche.com
3.122.148.77:443,hub-cm.leap.roche.com
3.122.172.82:443,lab-cm.leap.roche.com
3.122.213.1:443,*.apis.roche.com|apis.roche.com
3.122.196.88:443,serviceanalytics.dialog.roche.com
3.122.201.89:443,learningcontentcommunity-dev.roche.com|learningcontentcommunity-tst.roche.com|learningcontentcommunity.roche.com
3.123.77.77:443,dev-api-news.roche.com
3.123.111.40:443,orders-graprime-test1.roche.com
3.123.115.26:443,*.roche.com
3.123.126.185:443,*.roche.com
3.123.171.28:443,space-health-dashboard.staging.cwp.roche.com
3.123.170.105:443,marsdev.roche.com
3.123.180.15:443,intradoreleases-develop.cwp.roche.com
3.123.247.71:443,hub-cm.leap.roche.com
3.124.41.66:443,*.roche.com
3.124.60.15:443,*.roche.com
3.124.86.100:443,maids-app.kamino-stg.roche.com
3.124.89.167:443,data-vault-automation.roche.com
3.124.114.82:443,qa-mock.dpmsys.roche.com
3.124.121.74:443,snowmirror-prod.roche.com
3.124.173.131:443,*.roche.com
3.124.175.88:443,*.roche.com
3.124.243.181:443,*.roche.com
3.125.10.101:443,*.roche.com
3.125.32.72:443,space-health-dashboard.cwp.roche.com
3.125.106.193:443,prod-xtm.dpmsys.roche.com
3.125.105.120:443,ordering-dev.roche.com|ordering-preprod.roche.com|ordering-test.roche.com|ordering.roche.com
3.125.208.95:443,api-home.roche.com
3.126.22.136:443,orders-emea-test1.roche.com
3.126.40.178:443,*.roche.com
3.126.94.102:443,data-vault-automation-test.roche.com
3.126.155.212:443,intradoreleases-develop.cwp.roche.com
3.126.156.238:443,*.roche.com
3.126.215.45:443,portal.apis.roche.com|apis.roche.com
3.127.16.92:443,dark-crisis-status.cwp.roche.com
3.127.19.66:443,dev-website-datasources.cwp.roche.com
3.127.96.116:443,*.roche.com
3.127.100.22:443,*.roche.com
3.127.132.106:443,*.roche.com
3.127.120.4:443,orders-emea.roche.com
3.127.123.124:443,*.roche.com
3.127.167.170:443,data-vault-automation.roche.com
3.127.163.64:443,orders-apac.roche.com
3.127.226.129:443,orders-emea-test1.roche.com
3.127.240.136:443,ordering-dev.roche.com|ordering-preprod.roche.com|ordering-test.roche.com|ordering.roche.com
3.127.246.211:443,orders-graprime-test1.roche.com
3.128.0.6:443,orders-us-test2.roche.com
3.128.69.210:443,orders-us-test2.roche.com
3.133.186.68:443,orders-us-test2.roche.com
3.135.77.223:443,orders-us-test2.roche.com
3.135.103.252:443,mcstaging.roche.com
3.136.128.187:443,mcstaging.roche.com
3.136.204.235:443,mcstaging.roche.com
3.136.215.69:443,mcstaging.roche.com
3.209.36.251:443,*.roche.com
3.210.116.153:443,nexusuat.roche.com.ar
3.211.168.216:443,*.apis.roche.com|apis.roche.com
3.212.71.198:443,*.roche.com
3.213.79.152:443,*.roche.com
3.221.232.191:443,*.roche.com
3.223.76.48:443,*.roche.com
3.225.122.241:443,*.roche.com
13.248.162.173:443,onecustomer-staging.roche.com|api.onecustomer-staging.roche.com|*.onecustomer-staging.roche.com|www.api.onecustomer-staging.roche.com|www.onecustomer-staging.roche.com
13.248.174.167:443,onecustomer-staging.roche.com|api.onecustomer-staging.roche.com|*.onecustomer-staging.roche.com|www.api.onecustomer-staging.roche.com|www.onecustomer-staging.roche.com
13.248.180.175:443,onecustomer-dev.roche.com|api.onecustomer-dev.roche.com|api.onecustomer-test.roche.com|onecustomer-test.roche.com|www.api.onecustomer-dev.roche.com|www.api.onecustomer-test.roche.com|www.onecustomer-dev.roche.com|www.onecustomer-test.roche.com
13.248.201.138:443,onecustomer-staging.roche.com|api.onecustomer-staging.roche.com|*.onecustomer-staging.roche.com|www.api.onecustomer-staging.roche.com|www.onecustomer-staging.roche.com
15.197.152.131:443,onecustomer.roche.com|api.onecustomer.roche.com|www.api.onecustomer.roche.com
15.197.207.154:443,onecustomer-dev.roche.com|api.onecustomer-dev.roche.com|api.onecustomer-test.roche.com|onecustomer-test.roche.com|www.api.onecustomer-dev.roche.com|www.api.onecustomer-test.roche.com|www.onecustomer-dev.roche.com|www.onecustomer-test.roche.com
15.197.207.146:443,onecustomer.roche.com|api.onecustomer.roche.com|www.api.onecustomer.roche.com
